City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lompoc,US,34.6391,-120.4579,60.08,83,1,4.61,clear sky
80,Hervey Bay,AU,-25.2986,152.8535,73.02,80,13,3.0,few clouds
81,Lorengau,PG,-2.0226,147.2712,81.77,85,74,9.69,light rain
82,Hobart,AU,-42.8794,147.3294,51.66,79,4,1.01,clear sky
83,Busselton,AU,-33.65,115.3333,51.08,70,63,11.52,broken clouds
84,Faanui,PF,-16.4833,-151.75,80.35,73,63,10.83,broken clouds
85,Sept-Iles,CA,50.2001,-66.3821,31.05,73,75,15.01,broken clouds
86,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,78,75,13.8,broken clouds
87,Flinders,AU,-34.5833,150.8552,59.81,86,49,6.13,scattered clouds
88,Beringovskiy,RU,63.05,179.3167,-25.08,95,74,10.04,broken clouds
89,Antalaha,MG,-14.9003,50.2788,74.89,87,99,6.64,light rain
90,Torbay,CA,47.6666,-52.7314,57.27,93,90,37.98,light intensity drizzle
91,Ancud,CL,-41.8697,-73.8203,58.53,66,91,14.18,overcast clouds
92,Kralendijk,BQ,12.15,-68.2667,85.98,66,40,12.66,scattered clouds
93,Saskylakh,RU,71.9167,114.0833,-45.11,100,73,3.27,broken clouds
94,Tasiilaq,GL,65.6145,-37.6368,37.56,68,100,28.7,overcast clouds
95,Laguna,US,38.421,-121.4238,53.44,87,90,1.01,mist
96,Baymak,RU,52.5933,58.3225,6.1,82,3,5.06,clear sky
97,Carnarvon,AU,-24.8667,113.6333,69.87,78,40,25.32,scattered clouds
98,Cockburn Town,TC,21.4612,-71.1419,80.06,72,1,17.0,clear sky
99,Severo-Kurilsk,RU,50.6789,156.125,32.58,96,100,12.5,light snow
100,Faya,SA,18.3851,42.4509,60.91,34,7,5.7,clear sky
101,Uarini,BR,-2.99,-65.1083,80.55,87,97,4.38,overcast clouds
102,Antigonish,CA,45.6169,-61.9986,46.58,75,100,15.99,overcast clouds
103,Pevek,RU,69.7008,170.3133,-33.75,96,25,2.51,scattered clouds
104,Vaini,TO,-21.2,-175.2,75.36,94,40,4.61,light rain
105,Thompson,CA,55.7435,-97.8558,-0.24,78,90,3.44,light snow
106,Acapulco,MX,16.8634,-99.8901,82.22,74,1,5.75,clear sky
107,Indapur,IN,18.3,73.25,74.88,64,25,2.13,light rain
108,Hammerfest,NO,70.6634,23.6821,31.73,100,90,5.75,snow
109,Waddan,LY,29.1614,16.139,56.16,47,0,8.84,clear sky
110,Izhma,RU,65.0083,53.9113,10.67,95,99,4.56,overcast clouds
111,Kwidzyn,PL,53.7249,18.9311,28.27,92,87,5.82,overcast clouds
112,Mingyue,CN,43.1069,128.9217,8.87,69,81,15.01,broken clouds
113,Fairbanks,US,64.8378,-147.7164,-5.78,70,90,0.0,haze
114,Port Alfred,ZA,-33.5906,26.891,71.26,85,74,15.82,broken clouds
115,Selfoss,IS,63.9331,-20.9971,43.68,88,100,22.59,light rain
116,Santa Ines,BR,-3.6667,-45.38,97.88,34,80,6.17,broken clouds
117,Bredasdorp,ZA,-34.5322,20.0403,68.29,69,100,8.05,overcast clouds
118,Esperance,AU,-33.8667,121.9,51.64,60,62,7.74,broken clouds
119,Lavrentiya,RU,65.5833,-171.0,-12.69,84,2,4.79,clear sky
120,Korla,CN,41.7597,86.1469,20.34,72,36,1.81,scattered clouds
121,Qaqortoq,GL,60.7167,-46.0333,18.1,86,9,5.95,clear sky
122,Rocha,UY,-34.4833,-54.3333,87.85,34,21,4.83,few clouds
123,Kimbe,PG,-5.5502,150.1429,77.18,95,100,3.13,moderate rain
124,San Cristobal,VE,7.7669,-72.225,75.38,39,88,4.9,overcast clouds
125,Ciudad Bolivar,VE,8.1222,-63.5497,77.86,80,100,8.3,overcast clouds
126,Port Elizabeth,ZA,-33.918,25.5701,74.1,73,90,8.05,overcast clouds
127,Usinsk,RU,65.9939,57.5281,14.32,96,100,10.02,light snow
128,Ketchikan,US,55.3422,-131.6461,34.27,75,90,14.97,light rain
129,Baijiantan,CN,45.6333,85.1833,16.52,78,100,3.47,overcast clouds
130,Westport,US,41.1415,-73.3579,47.86,41,1,1.01,clear sky
131,Necochea,AR,-38.5473,-58.7368,73.04,44,100,11.92,overcast clouds
132,Saint-Philippe,RE,-21.3585,55.7679,78.39,81,91,14.34,light rain
133,Cabo San Lucas,MX,22.8909,-109.9124,73.15,78,40,3.44,scattered clouds
134,Yuzhno-Sukhokumsk,RU,44.6581,45.6436,36.63,83,75,14.07,broken clouds
135,Serebryansk,KZ,49.6925,83.2892,20.75,88,100,4.0,overcast clouds
136,Coquimbo,CL,-29.9533,-71.3436,67.73,63,20,12.66,few clouds
137,Touros,BR,-5.1989,-35.4608,88.7,59,7,15.52,clear sky
138,Newport,GB,51.5877,-2.9984,55.44,80,100,16.67,overcast clouds
