City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kodiak,US,2021-12-09 21:46:46,57.79,-152.4072,42.31,61,75,17.27
67,Asau,RO,2021-12-09 21:46:46,46.4333,26.4,34.75,84,100,1.83
68,Salalah,OM,2021-12-09 21:46:46,17.0151,54.0924,77.09,65,20,2.3
69,Saravena,CO,2021-12-09 21:46:47,6.9538,-71.8752,83.41,61,93,2.19
70,Tuktoyaktuk,CA,2021-12-09 21:46:47,69.4541,-133.0374,-7.6,84,20,2.3
71,Xinzhou,CN,2021-12-09 21:46:47,38.4092,112.7333,33.96,54,92,0.47
72,Paita,PE,2021-12-09 21:46:48,-5.0892,-81.1144,73.96,79,94,12.01
73,Neiafu,TO,2021-12-09 21:46:49,-18.65,-173.9833,81.28,83,75,8.05
74,Upernavik,GL,2021-12-09 21:46:49,72.7868,-56.1549,2.55,100,93,9.04
75,Bredasdorp,ZA,2021-12-09 21:46:49,-34.5322,20.0403,65.28,88,100,11.77
76,Taybad,IR,2021-12-09 21:46:50,34.74,60.7756,52.95,29,0,16.44
77,Lebu,CL,2021-12-09 21:46:00,-37.6167,-73.65,60.62,76,0,18.25
78,Jamestown,US,2021-12-09 21:44:08,42.097,-79.2353,33.39,74,90,7.0
79,Sola,VU,2021-12-09 21:46:50,-13.8833,167.55,83.07,89,20,0.0
80,Qaanaaq,GL,2021-12-09 21:46:51,77.484,-69.3632,-0.44,83,42,8.08
81,Sitka,US,2021-12-09 21:46:51,57.0531,-135.33,35.49,87,75,6.91
82,Kaitangata,NZ,2021-12-09 21:46:51,-46.2817,169.8464,60.93,54,18,1.99
83,Nalut,LY,2021-12-09 21:46:52,30.3333,10.85,47.39,48,0,8.9
84,Sao Jose Da Coroa Grande,BR,2021-12-09 21:46:52,-8.8978,-35.1478,80.24,79,19,11.56
85,Zhigansk,RU,2021-12-09 21:46:53,66.7697,123.3711,-12.51,96,100,19.73
86,Pisco,PE,2021-12-09 21:46:53,-13.7,-76.2167,69.85,78,100,6.91
87,Koungou,YT,2021-12-09 21:46:53,-12.7336,45.2042,80.31,74,20,9.22
88,Saldanha,ZA,2021-12-09 21:47:54,-33.0117,17.9442,62.65,95,22,10.47
89,Soyo,AO,2021-12-09 21:47:54,-6.1349,12.3689,77.92,91,100,8.03
90,Muroto,JP,2021-12-09 21:47:54,33.2833,134.15,46.44,58,100,5.3
91,Doha,QA,2021-12-09 21:47:55,25.2867,51.5333,71.58,78,20,6.91
92,Castro,BR,2021-12-09 21:47:55,-24.7911,-50.0119,62.64,49,0,3.6
93,Caravelas,BR,2021-12-09 21:47:56,-17.7125,-39.2481,72.23,98,100,3.74
94,Yerbogachen,RU,2021-12-09 21:47:56,61.2767,108.0108,-2.16,94,100,12.71
95,Ketchikan,US,2021-12-09 21:47:56,55.3422,-131.6461,36.07,93,90,3.44
96,Ponta Do Sol,PT,2021-12-09 21:47:57,32.6667,-17.1,65.71,75,58,8.34
97,Kununurra,AU,2021-12-09 21:47:57,-15.7667,128.7333,82.38,78,68,6.91
98,Sao Joao Da Barra,BR,2021-12-09 21:47:57,-21.6403,-41.0511,75.29,82,79,10.58
99,Lazaro Cardenas,MX,2021-12-09 21:47:58,17.9583,-102.2,83.79,62,10,8.99
