City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Barinas,VE,89.64,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
407,Impfondo,CG,82.45,scattered clouds,1.6381,18.0667,Auberge La Place de Jules
411,Porangatu,BR,81.36,light rain,-13.4408,-49.1486,Wembley Park Hotel
419,Trelew,AR,75.69,clear sky,-43.249,-65.3051,Hotel Touring Club
420,Soyo,AO,84.25,overcast clouds,-6.1349,12.3689,Hotel Mpampa
422,Moron,AR,76.86,light rain,-34.6534,-58.6198,Hotel Morón
426,Sumbe,AO,80.62,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
427,Haapiti,PF,80.33,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
432,Maceio,BR,89.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
435,Sao Jose Da Coroa Grande,BR,84.74,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
443,Vao,NC,77.52,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
444,Dhidhdhoo,MV,82.58,broken clouds,6.8833,73.1,Dhidhoo beach
450,Cocobeach,GA,82.33,overcast clouds,1.0002,9.5823,Hotel Esperance
454,Inhambane,MZ,80.06,few clouds,-23.865,35.3833,Oceano
457,West Bay,KY,86.07,few clouds,19.3667,-81.4167,Calypso Cove
459,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
461,Lukulu,ZM,86.0,overcast clouds,-14.3707,23.242,Ruth Guest House
465,Mitzic,GA,76.14,overcast clouds,0.7821,11.549,Motel Emys
467,Sola,VU,81.39,light rain,-13.8833,167.55,Leumerus Bungalows
469,Sao Felix Do Xingu,BR,77.97,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
471,Ibotirama,BR,83.52,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
473,Lekoni,GA,76.86,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
482,Bubaque,GW,81.61,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
483,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
487,Kirakira,SB,81.27,overcast clouds,-10.4544,161.9205,SanBiz Lodge
488,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
489,Xuddur,SO,84.04,broken clouds,4.1213,43.8894,Banjanay Hotel
490,Farafangana,MG,77.07,clear sky,-22.8167,47.8333,Miarina
493,Key West,US,82.4,overcast clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
500,San Fernando,PH,79.14,broken clouds,15.0286,120.6898,Maharlika Hostel
505,Progreso,MX,86.11,few clouds,21.2833,-89.6667,Playa Linda Hotel
506,Port Blair,IN,79.65,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
510,Amahai,ID,80.01,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
512,Apac,UG,78.85,overcast clouds,1.9756,32.5386,Double Duez Apac
518,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
519,Feijo,BR,86.38,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
527,Porbandar,IN,75.29,clear sky,21.6422,69.6093,Lords Inn Porbandar
535,Quelimane,MZ,84.15,clear sky,-17.8786,36.8883,Hotel Flamingo
539,Jacareacanga,BR,80.4,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
540,Miandrivazo,MG,85.82,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
542,Cayenne,GF,82.44,light rain,4.9333,-52.3333,Hôtel Le Dronmi
547,Juba,SS,88.97,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
548,Waingapu,ID,80.49,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
554,Morondava,MG,82.51,broken clouds,-20.2833,44.2833,La Case Bambou
557,Porto Novo,BJ,87.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
563,Muisne,EC,75.31,moderate rain,0.6,-80.0333,Quinta Samay
566,Itaituba,BR,87.96,scattered clouds,-4.2761,-55.9836,Hotel Campos
567,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
568,Jatai,BR,86.45,overcast clouds,-17.8814,-51.7144,La Vitre Hotel
573,Mutoko,ZW,77.45,broken clouds,-17.397,32.2268,Mutoko Hotel
576,Samarai,PG,81.48,overcast clouds,-10.6167,150.6667,Nuli Sapi
580,Innisfail,AU,78.71,broken clouds,-17.5333,146.0333,Moondarra Motel
585,Natal,BR,89.82,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
586,Kabompo,ZM,81.57,scattered clouds,-13.5927,24.2008,Big Tree
587,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
590,San Martin,AR,75.74,broken clouds,-33.081,-68.4681,Club El Pelícano
597,Abu Zabad,SD,81.66,broken clouds,12.35,29.25,حامد محمد نور
599,La Orilla,MX,83.61,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
604,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
605,Manggar,ID,79.32,overcast clouds,-2.8833,108.2667,Guest Hotel
609,Sassandra,CI,82.78,few clouds,4.95,-6.0833,la terrasse
612,Kasempa,ZM,81.54,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
617,Tomatlan,MX,85.6,few clouds,19.9333,-105.25,El Salvial
618,Caramay,PH,78.31,broken clouds,10.1815,119.236,Peace and Love Beach Club
622,Auki,SB,77.36,overcast clouds,-8.7676,160.7034,Auki Motel
624,Barra Do Garcas,BR,82.49,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
628,Bandiagara,ML,89.49,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
629,Ankpa,NG,86.18,scattered clouds,7.3706,7.6253,AA Suites
638,Sao Gabriel Da Cachoeira,BR,89.4,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
644,Dzilam Gonzalez,MX,86.56,few clouds,21.2833,-88.9333,posadas
653,Kwekwe,ZW,83.73,overcast clouds,-18.9281,29.8149,"Golden Mile Hotel, Kwekwe"
654,Kerema,PG,78.73,broken clouds,-7.9631,145.7785,Frena Lodge
660,Maragogi,BR,84.78,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
663,Palu,ID,75.63,broken clouds,-0.8917,119.8707,Hotel Santika Palu
664,Manavalakurichi,IN,78.89,broken clouds,8.1333,77.3,Muttom beach west
666,Mayumba,GA,76.03,overcast clouds,-3.432,10.6554,LIKWALE LODGE
668,Pauini,BR,85.53,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
669,Vila Do Maio,CV,83.19,scattered clouds,15.1333,-23.2167,Hotel Marilu
670,Kieta,PG,79.72,light rain,-6.2167,155.6333,Uruna Bay Retreat
678,Bonthe,SL,83.93,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
681,Phangnga,TH,78.84,clear sky,8.4509,98.5298,Sunimit Mansion
685,Satipo,PE,86.61,moderate rain,-11.2522,-74.6386,Bungalows El Palmiche
687,Montepuez,MZ,80.46,overcast clouds,-13.1256,38.9997,PembaAparthotel
688,Brandon,US,84.15,clear sky,27.9378,-82.2859,Brandon Motor Lodge
689,Buchanan,LR,89.56,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
701,Sao Joao Da Barra,BR,87.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
702,Santa Maria Da Vitoria,BR,79.95,overcast clouds,-13.3947,-44.1886,Pousada Rio Current
